sn,id,sid,mcq1,cq1,mcq2,cq2,mcq,cq,pra,ca,tot,gp,lg,result,gpa,grade
1,1,Bangla,42,59,42,59,42,59,,,50.5,3,B,,,
2,2,Bangla,21,57,21,57,21,57,,,39,1,D,,,
3,3,Bangla,22,58,22,58,22,58,,,40,2,C,,,
4,4,Bangla,19,55,19,55,19,55,,,37,1,D,,,
5,5,Bangla,19,55,19,55,19,55,,,37,1,D,,,
6,6,Bangla,20,48,20,48,20,48,,,34,1,D,,,
7,7,Bangla,21,53,21,53,21,53,,,37,1,D,,,
8,8,Bangla,22,56,22,56,22,56,,,39,1,D,,,
9,9,Bangla,20,43,20,43,20,43,,,31.5,0,F,,,
10,10,Bangla,17,50,17,50,17,50,,,33.5,1,D,,,
11,11,Bangla,20,48,20,48,20,48,,,34,1,D,,,
12,12,Bangla,18,52,18,52,18,52,,,35,1,D,,,
13,13,Bangla,21,59,21,59,21,59,,,40,2,C,,,
14,14,Bangla,22,52,22,52,22,52,,,37,1,D,,,
15,15,Bangla,22,51,22,51,22,51,,,36.5,1,D,,,
16,16,Bangla,23,42,23,42,23,42,,,32.5,0,F,,,
17,17,Bangla,21,57,21,57,21,57,,,39,1,D,,,
18,18,Bangla,21,49,21,49,21,49,,,35,1,D,,,
19,19,Bangla,18,49,18,49,18,49,,,33.5,1,D,,,
20,20,Bangla,20,43,20,43,20,43,,,31.5,0,F,,,
21,21,Bangla,22,56,22,56,22,56,,,39,1,D,,,
22,22,Bangla,21,50,21,50,21,50,,,35.5,1,D,,,
23,23,Bangla,22,52,22,52,22,52,,,37,1,D,,,
24,24,Bangla,42,59,22,58,32,58.5,,,45.25,2,C,,,
25,25,Bangla,20,59,63,46,41.5,52.5,,,47,2,C,,,
26,26,Bangla,21,59,71,55,46,57,,,51.5,3,B,,,
27,27,Bangla,24,59,50,35,37,47,,,42,2,C,,,
28,28,Bangla,16,59,44,33,30,46,,,38,1,D,,,
29,29,Bangla,17,59,42,34,29.5,46.5,,,38,1,D,,,
30,30,Bangla,14,59,44,38,29,48.5,,,38.75,1,D,,,
31,31,Bangla,13,59,40,33,26.5,46,,,36.25,1,D,,,
32,32,Bangla,15,59,59,42,37,50.5,,,43.75,2,C,,,
33,33,Bangla,23,59,52,41,37.5,50,,,43.75,2,C,,,
34,34,Bangla,19,59,36,33,27.5,46,,,36.75,1,D,,,
35,35,Bangla,16,59,43,21,29.5,40,,,34.75,1,D,,,
36,36,Bangla,,59,,,0,29.5,,,14.75,0,F,,,
37,37,Bangla,10,59,43,,26.5,29.5,,,28,0,F,,,
38,38,Bangla,12,59,25,18,18.5,38.5,,,28.5,0,F,,,
39,39,Bangla,16,59,43,34,29.5,46.5,,,38,1,D,,,
40,40,Bangla,10,59,40,22,25,40.5,,,32.75,0,F,,,
41,41,Bangla,14,59,19,18,16.5,38.5,,,27.5,0,F,,,
42,42,Bangla,15,59,33,27,24,43,,,33.5,1,D,,,
43,43,Bangla,12,59,37,33,24.5,46,,,35.25,1,D,,,
44,44,Bangla,14,59,21,24,17.5,41.5,,,29.5,0,F,,,
45,45,Bangla,11,59,23,20,17,39.5,,,28.25,0,F,,,
46,46,Bangla,11,59,27,26,19,42.5,,,30.75,0,F,,,
47,47,Bangla,8,59,34,46,21,52.5,,,36.75,1,D,,,
48,48,Bangla,11,59,34,33,22.5,46,,,34.25,1,D,,,
49,49,Bangla,14,59,29,33,21.5,46,,,33.75,1,D,,,
50,50,Bangla,12,59,34,33,23,46,,,34.5,1,D,,,
51,51,Bangla,12,59,37,23,24.5,41,,,32.75,0,F,,,
52,52,Bangla,8,59,36,26,22,42.5,,,32.25,0,F,,,
53,53,Bangla,14,59,30,33,22,46,,,34,1,D,,,
54,54,Bangla,11,59,36,23,23.5,41,,,32.25,0,F,,,
55,55,Bangla,15,59,37,24,26,41.5,,,33.75,1,D,,,
56,56,Bangla,13,59,33,46,23,52.5,,,37.75,1,D,,,
57,57,Bangla,,59,42,34,21,46.5,,,33.75,1,D,,,
58,58,Bangla,11,59,30,19,20.5,39,,,29.75,0,F,,,
59,59,Bangla,10,59,35,34,22.5,46.5,,,34.5,1,D,,,
60,60,Bangla,11,59,38,33,24.5,46,,,35.25,1,D,,,
61,61,Bangla,17,59,35,33,26,46,,,36,1,D,,,
62,62,Bangla,13,59,51,51,32,55,,,43.5,2,C,,,
63,63,Bangla,15,59,38,34,26.5,46.5,,,36.5,1,D,,,
64,64,Bangla,15,59,37,18,26,38.5,,,32.25,0,F,,,
65,65,Bangla,22,59,36,19,29,39,,,34,1,D,,,
66,66,Bangla,17,59,48,42,32.5,50.5,,,41.5,2,C,,,
67,1,English,,42,,59,,50.5,,,50.5,3,B,,,
68,2,English,,21,,57,,39,,,39,1,D,,,
69,3,English,,22,,58,,40,,,40,2,C,,,
70,4,English,,19,,55,,37,,,37,1,D,,,
71,5,English,,19,,55,,37,,,37,1,D,,,
72,6,English,,20,,48,,34,,,34,1,D,,,
